matrix_index,pt_root_id,brain_area,layer,cell_type,valid_function,x_um,y_um,z_um,mean_dist_um,out_degree,in_degree,out_strength,in_strength,mean_fcorr_signed,mean_fcorr_pos_clipped,mean_fcorr_abs,mean_fcorr_pairdist_resid,mean_fcorr_same_area,mean_dist_same_area,total_degree,total_strength
0,864691135763941174,V1,L2/3,23P,True,613.3947827500391,104.2640549208051,927.8800000000002,333.2837532439971,9.0,15.0,124132.0,70316.0,0.059659869837672866,0.08674664646233883,0.11383342308700482,0.03754335232812823,0.07801575971963937,254.65042291961709,24.0,194448.0
1,864691136488446226,V1,L2/3,23P,True,547.7387496039802,131.41306476506318,711.8800000000001,379.40388759947973,1.0,4.0,5820.0,58724.0,0.04879488269823607,0.07951236812796843,0.11022985355770079,0.030892200279160342,0.05966856555299333,296.86417016061586,5.0,64544.0
2,864691135694415551,V1,L4,4P,True,620.0538654218548,292.5047448737744,810.6400000000002,261.0834309452593,32.0,12.0,220852.0,118588.0,0.040606059618205625,0.07370018384136573,0.10679430806452583,0.010216185174705718,0.059468383420146397,172.71195559037045,44.0,339440.0
3,864691135398817569,V1,L2/3,23P,True,705.8391362714156,101.36608355883405,901.6800000000003,300.7799234265052,6.0,12.0,51736.0,54672.0,0.04440436974816444,0.08510701963932099,0.12580966953047754,0.02004759339979015,0.07514110346453372,235.7317374123143,18.0,106408.0
4,864691134942472035,V1,L2/3,23P,True,669.2078129037207,164.65428407307976,834.5600000000003,266.67856666815436,25.0,34.0,208056.0,411868.0,0.009541042731149847,0.05360142576153823,0.09766180879192664,-0.019477847375981714,-0.005869196482976468,189.31801921437784,59.0,619924.0
5,864691136228491601,V1,L2/3,23P,True,713.183066043155,242.1257823632423,859.2400000000002,232.23348316860591,20.0,12.0,179636.0,100204.0,0.020186178872300797,0.053445996950447425,0.08670581502859406,-0.012259782032703214,0.022888785488691672,158.92438710691252,32.0,279840.0
6,864691135468161164,RL,L2/3,23P,True,1224.6317864591958,213.50456308811746,865.9200000000003,469.17846402766526,1.0,5.0,1160.0,60904.0,0.014935470236122466,0.06271404708379898,0.11049262393147548,0.0041462356755594225,0.062337820060708676,150.62581957874067,6.0,62064.0
7,864691135849088094,V1,L5,5P-IT,True,840.5662496521345,409.7056503356246,868.2000000000003,278.40098884208646,6.0,17.0,61652.0,94544.0,0.03719948929479871,0.07712824580803021,0.11705700232126176,0.012551812497043797,0.05764697844249573,240.60577304390225,23.0,156196.0
8,864691135616363211,AL,L2/3,23P,True,1309.026207676307,220.37416245262423,711.2800000000001,555.4836024955191,7.0,8.0,89832.0,78868.0,0.04227258220727847,0.07371607682044257,0.10515957143360666,0.03487923194410363,0.14984125631156195,108.25811881712886,15.0,168700.0
9,864691135518989962,V1,L2/3,23P,True,810.2375951457562,149.81738059681405,935.2800000000002,287.5848843051614,15.0,15.0,98804.0,143540.0,0.016642736629403618,0.05324577353121768,0.08984881043303174,-0.007446254204414264,0.00938760497981495,244.5667372746823,30.0,242344.0
10,864691135877951571,V1,L4,4P,True,754.7184641953937,357.0310801886039,803.7200000000003,248.03014881177336,13.0,5.0,90732.0,76012.0,-0.0008960698054767783,0.05628678853633014,0.11346964687813704,-0.030291196573063908,0.020444337423563885,186.37170577954254,18.0,166744.0
11,864691136239108156,V1,L2/3,23P,True,627.7108541846394,207.9222334243821,719.4800000000001,306.5047989356453,3.0,4.0,9984.0,43460.0,-0.0006428452322969621,0.048590562907735224,0.09782397104776741,-0.024997749436747603,0.0026356956776392,227.72990364607008,7.0,53444.0
